iter	Passed	Remaining
0	0	84
1	1	71
2	2	68
3	3	72
4	4	81
5	5	88
6	6	89
7	7	85
8	7	80
9	8	77
10	9	77
11	10	76
12	11	73
13	11	71
14	12	68
15	12	66
16	13	63
17	13	61
18	14	60
19	14	59
20	17	66
21	18	65
22	19	64
23	19	62
24	20	60
25	20	59
26	21	57
27	21	55
28	22	54
29	22	53
30	23	51
31	24	51
32	25	50
33	25	49
34	26	48
35	26	47
36	27	46
37	27	45
38	28	44
39	29	43
40	30	44
41	31	43
42	32	42
43	32	41
44	33	41
45	34	40
46	34	39
47	35	38
48	36	37
49	36	36
50	37	36
51	38	35
52	38	34
53	39	33
54	39	32
55	40	31
56	40	30
57	41	29
58	41	29
59	43	28
60	44	28
61	45	27
62	45	26
63	46	26
64	46	25
65	47	24
66	48	23
67	49	23
68	49	22
69	50	21
70	50	20
71	51	19
72	51	19
73	52	18
74	52	17
75	53	16
76	54	16
77	54	15
78	55	14
79	55	13
80	59	13
81	60	13
82	60	12
83	61	11
84	62	10
85	63	10
86	63	9
87	64	8
88	65	8
89	66	7
90	66	6
91	67	5
92	68	5
93	68	4
94	69	3
95	75	3
96	76	2
97	76	1
98	77	0
99	78	0
