iter	Passed	Remaining
0	1	1794
1	7	3602
2	9	3012
3	10	2635
4	12	2461
5	13	2205
6	14	2057
7	15	1933
8	16	1847
9	19	1947
10	21	1914
11	26	2199
12	29	2218
13	30	2168
14	31	2091
15	33	2042
16	35	2026
17	36	1964
18	37	1936
19	42	2098
20	44	2054
21	45	2001
22	48	2047
23	49	2005
24	50	1958
25	51	1936
26	53	1934
27	57	2008
28	59	2005
29	61	1987
30	62	1951
31	63	1916
32	64	1895
33	65	1863
34	66	1832
35	67	1803
36	73	1908
37	74	1891
38	75	1866
39	77	1848
40	78	1834
41	79	1813
42	80	1790
43	82	1782
44	90	1916
45	91	1898
46	92	1876
47	93	1854
48	94	1835
49	95	1816
50	96	1801
51	98	1794
52	106	1902
53	107	1888
54	109	1875
55	110	1857
56	111	1837
57	111	1817
58	113	1803
59	117	1836
60	120	1854
61	121	1839
62	122	1827
63	124	1817
64	125	1806
65	126	1791
66	128	1783
67	138	1896
68	142	1920
69	143	1912
70	147	1935
71	149	1926
72	153	1948
73	154	1934
74	155	1923
75	157	1909
76	158	1896
77	163	1935
78	166	1944
79	168	1937
80	169	1919
81	170	1907
82	171	1896
83	172	1883
84	178	1916
85	179	1910
86	181	1903
87	182	1894
88	184	1884
89	185	1876
90	187	1870
91	189	1871
92	192	1874
93	193	1868
94	194	1857
95	196	1849
96	197	1838
97	198	1830
98	201	1836
99	205	1848
100	207	1843
101	208	1836
102	210	1830
103	212	1830
104	213	1820
105	214	1811
106	216	1804
107	220	1821
108	222	1818
109	224	1813
110	225	1806
111	226	1798
112	228	1791
113	229	1785
114	234	1805
115	236	1804
116	238	1800
117	240	1796
118	241	1789
119	242	1781
120	244	1774
121	249	1797
122	251	1795
123	253	1790
124	254	1783
125	255	1775
126	257	1766
127	258	1760
128	265	1792
129	267	1790
130	268	1783
131	270	1776
132	271	1771
133	272	1763
134	282	1812
135	284	1806
136	285	1800
137	287	1796
138	291	1806
139	295	1812
140	296	1808
141	298	1804
142	300	1802
143	304	1807
144	308	1820
145	310	1815
146	311	1807
147	314	1807
148	316	1806
149	323	1833
150	324	1822
151	325	1815
152	327	1812
153	328	1804
154	329	1797
155	337	1825
156	339	1821
157	340	1813
158	340	1802
159	341	1793
160	342	1784
161	344	1780
162	346	1776
163	347	1769
164	347	1760
165	349	1754
166	350	1746
167	350	1738
168	351	1730
169	352	1721
170	353	1713
171	354	1706
172	355	1697
173	355	1688
174	356	1681
175	363	1701
176	364	1695
177	365	1689
178	367	1684
179	368	1679
180	369	1673
181	371	1667
182	371	1658
183	374	1661
184	376	1659
185	378	1655
186	381	1659
187	384	1660
188	389	1670
189	391	1669
190	392	1663
191	394	1658
192	397	1662
193	399	1658
194	401	1656
195	403	1654
196	405	1651
197	406	1645
198	408	1642
199	409	1638
200	415	1653
201	418	1652
202	420	1649
203	422	1649
204	425	1650
205	429	1654
206	430	1649
207	431	1644
208	433	1640
209	434	1635
210	440	1646
211	445	1655
212	447	1652
213	448	1647
214	450	1644
215	454	1649
216	456	1648
217	457	1642
218	460	1642
219	461	1637
220	463	1632
221	465	1629
222	473	1648
223	473	1642
224	475	1638
225	477	1636
226	479	1632
227	481	1631
228	485	1633
229	488	1634
230	505	1683
231	508	1684
232	516	1699
233	517	1694
234	518	1689
235	520	1684
236	522	1681
237	525	1681
238	530	1689
239	534	1691
240	535	1686
241	537	1682
242	539	1679
243	542	1681
244	545	1680
245	546	1675
246	547	1670
247	549	1665
248	551	1663
249	553	1659
250	554	1654
251	560	1662
252	561	1657
253	562	1653
254	564	1648
255	565	1643
256	573	1659
257	575	1656
258	577	1651
259	578	1646
260	579	1641
261	580	1635
262	581	1629
263	582	1624
264	583	1619
265	585	1616
266	587	1613
267	588	1608
